obs_id,class_pred
id_003452,3
id_004838,4
id_007446,6
id_011804,10
id_002622,3
id_011675,9
id_012276,9
id_008586,7
id_008174,7
id_000803,1
id_002676,3
id_002294,2
id_008924,7
id_004989,4
id_009998,8
id_006463,5
id_009318,8
id_012878,10
id_004934,4
id_010093,8
id_012133,10
id_002754,3
id_008458,7
id_001630,2
id_003468,10
id_005010,4
id_000174,1
id_004961,4
id_011282,9
id_004415,5
id_006253,5
id_007776,6
id_006401,5
id_002415,2
id_010728,9
id_008667,7
id_010297,8
id_001400,2
id_009381,8
id_005331,5
id_010640,9
id_008386,7
id_010146,8
id_007166,6
id_006864,6
id_010227,8
id_000303,1
id_006182,5
id_009485,8
id_008972,7
id_006186,5
id_011152,9
id_005673,5
id_003170,3
id_000916,1
id_001288,1
id_004094,4
id_006713,6
id_008568,6
id_005265,5
id_011813,10
id_003799,3
id_005940,5
id_004301,4
id_008420,10
id_003338,3
id_006190,5
id_009911,8
id_001090,1
id_011319,9
id_004385,4
id_010854,9
id_004482,4
id_004315,4
id_006158,5
id_011532,9
id_011171,9
id_005040,4
id_010045,8
id_012413,10
id_005616,5
id_009205,8
id_005168,4
id_004203,4
id_009779,8
id_002618,3
id_009184,8
id_001572,2
id_012947,10
id_001851,2
id_003094,3
id_000761,1
id_008291,7
id_011311,10
id_010053,8
id_010290,8
id_005875,5
id_005292,5
id_010462,9
id_007805,7
id_008446,7
id_004556,4
id_003486,3
id_012803,10
id_008170,7
id_002750,3
id_001669,2
id_006165,5
id_011914,10
id_007719,6
id_012583,3
id_009433,8
id_004598,4
id_005561,5
id_001910,2
id_000169,1
id_009220,8
id_001330,2
id_005750,5
id_008246,7
id_012775,10
id_006383,5
id_006238,5
id_002234,2
id_009720,8
id_005844,5
id_006581,6
id_002672,3
id_002944,3
id_007668,6
id_007399,6
id_000992,5
id_000458,1
id_008271,7
id_011948,10
id_007695,6
id_007216,6
id_006767,6
id_012671,10
id_006529,6
id_008781,7
id_007736,6
id_003072,3
id_003320,10
id_009377,8
id_005818,5
id_002252,2
id_009598,8
id_001350,2
id_011111,9
id_007899,7
id_007159,6
id_004225,4
id_005822,5
id_006429,5
id_002324,2
id_006803,6
id_000967,1
id_003567,3
id_002732,3
id_003657,3
id_011493,9
id_005729,5
id_010013,8
id_011304,9
id_005303,5
id_000819,1
id_004306,4
id_009287,2
id_004332,3
id_008089,7
id_010785,9
id_010983,9
id_005020,4
id_004881,4
id_011485,9
id_008263,7
id_009503,8
id_007762,6
id_011579,10
id_003766,3
id_002452,2
id_011363,9
id_006452,5
id_011241,9
id_002425,2
id_009715,8
id_009284,8
id_012092,3
id_007016,6
id_009118,8
id_004982,4
id_001292,1
id_011876,10
id_003628,3
id_007563,6
id_001414,2
id_010762,9
id_004071,4
id_010022,8
id_003425,3
id_002799,3
id_006614,6
id_003442,3
id_002319,2
id_006636,6
id_007201,6
id_001653,2
id_003280,3
id_012914,10
id_012297,10
id_001281,1
id_009761,8
id_012122,10
id_010468,9
id_003942,4
id_008305,7
id_012187,10
id_012191,10
id_004346,4
id_003355,3
id_002115,2
id_004117,4
id_006518,6
id_011805,10
id_006528,6
id_003291,3
id_000594,1
id_005337,5
id_010907,9
id_004435,6
id_001679,2
id_004782,4
id_008062,7
id_004980,6
id_008804,7
id_008800,7
id_007083,6
id_005483,5
id_005778,5
id_003911,4
id_007380,6
id_011615,9
id_001820,2
id_005295,5
id_002691,3
id_005469,5
id_001693,2
id_005868,5
id_012024,10
id_009716,8
id_011894,10
id_006001,5
id_007694,4
id_012953,10
id_001387,2
id_003158,3
id_006353,5
id_004752,4
id_011909,10
id_006676,6
id_004041,4
id_003541,3
id_010031,8
id_008947,7
id_002102,2
id_000821,1
id_009610,8
id_007900,7
id_002159,4
id_000792,1
id_001388,2
id_004859,8
id_002155,2
id_003801,3
id_002446,2
id_003273,3
id_002306,2
id_006073,5
id_009805,8
id_000354,1
id_006707,6
id_011196,9
id_004745,4
id_000610,1
id_001763,2
id_004088,5
id_001969,2
id_001681,2
id_002814,3
id_002878,3
id_001671,2
id_012474,10
id_004156,4
id_006442,5
id_008658,7
id_001260,1
id_001511,2
id_000641,1
id_011803,9
id_008557,7
id_001205,1
id_006255,5
id_005861,5
id_004764,4
id_012890,10
id_002239,2
id_010325,8
id_000869,1
id_005083,4
id_001792,2
id_002453,2
id_010676,9
id_009134,8
id_003390,3
id_006280,5
id_001055,1
id_004489,4
id_012292,10
id_007923,7
id_008428,7
id_003963,4
id_005144,5
id_012628,10
id_010840,9
id_012087,10
id_010296,8
id_009913,8
id_003395,3
id_009658,8
id_012497,10
id_003720,3
id_005059,6
id_010288,4
id_000978,1
id_004607,4
id_005605,5
id_001985,2
id_007372,6
id_012284,10
id_012528,10
id_012877,10
id_006863,6
id_004865,4
id_008558,7
id_003408,3
id_005938,5
id_002174,2
id_004671,4
id_009178,8
id_006150,5
id_000808,1
id_009923,8
id_005291,5
id_012406,10
id_003578,3
id_010721,9
id_001040,1
id_011207,9
id_005966,5
id_001380,2
id_004213,4
id_010584,9
id_003499,3
id_007418,6
id_010573,9
id_000899,1
id_008879,6
id_008828,7
id_012697,10
id_005519,5
id_007100,6
id_011725,10
id_002911,3
id_002801,3
id_005306,5
id_004211,8
id_010917,9
id_002237,2
id_006227,5
id_005423,5
id_007121,6
id_008280,7
id_012347,3
id_002929,3
id_003038,3
id_010052,8
id_010490,9
id_001432,4
id_012149,10
id_001858,2
id_001811,2
id_011666,9
id_006393,5
id_001953,2
id_004391,6
id_008317,7
id_003930,4
id_004431,4
id_001864,2
id_008302,7
id_002332,2
id_012751,10
id_012907,3
id_011887,10
id_009115,8
id_004665,4
id_009836,4
id_000141,1
id_011840,10
id_012512,10
id_004500,4
id_009412,8
id_009981,8
id_008884,7
id_005989,5
id_006225,5
id_003877,3
id_008745,7
id_010352,8
id_012754,10
id_006475,5
id_008340,7
id_001801,2
id_004333,4
id_005103,6
id_001073,1
id_011726,10
id_010541,9
id_011056,9
id_011762,10
id_000911,1
id_004761,4
id_006760,6
id_001321,2
id_010074,8
id_009293,8
id_000656,1
id_006058,5
id_011563,9
id_000522,1
id_003693,3
id_006290,5
id_007657,6
id_003318,3
id_005313,5
id_004602,4
id_011832,1
id_001553,2
id_000879,1
id_012103,9
id_005554,5
id_004647,4
id_002137,2
id_000680,1
id_008253,7
id_007253,6
id_012382,10
id_007573,6
id_000815,1
id_002033,2
id_005962,6
id_000025,1
id_005535,5
id_003272,3
id_011764,10
id_008973,7
id_002044,1
id_005968,5
id_008650,7
id_005776,5
id_011968,10
id_008927,7
id_004976,4
id_001475,2
id_003008,10
id_010817,9
id_005460,5
id_006235,5
id_008664,7
id_009520,4
id_001946,2
id_010634,9
id_011852,3
id_007365,6
id_006286,5
id_002375,2
id_000023,1
