obs_id,quality_pred
id_000001,4.980001448389837
id_000002,4.837970120190034
id_000003,5.018466167076552
id_000004,5.748227440883225
id_000005,4.980001448389837
id_000006,5.037574435265151
id_000007,5.0694943117540365
id_000008,5.161433117877692
id_000009,5.152818113723362
id_000010,5.696680878881956
id_000011,5.000871817519233
id_000012,5.696680878881956
id_000013,5.161160715992213
id_000014,4.977037088306606
id_000015,5.048289495161775
id_000016,5.048289495161775
id_000017,5.978335418523557
id_000018,5.10363833514001
id_000019,4.966840445733758
id_000020,5.413981663511677
id_000021,5.631991859590672
id_000022,5.558695677226183
id_000023,5.360939728245206
id_000024,5.243374198182311
id_000025,5.489862826683279
id_000026,5.297772468666315
id_000027,5.374172049161699
id_000028,5.360939728245206
id_000029,4.942276942889253
id_000030,5.16065724556133
id_000031,5.211095654654617
id_000032,5.422726433030644
id_000033,5.154041085103087
id_000034,5.175065439173062
id_000035,5.367319145948187
id_000036,5.168238922406726
id_000037,5.65803219033431
id_000038,5.518649320120936
id_000039,4.3692597445711865
id_000040,5.768647112476096
id_000041,5.768647112476096
id_000042,5.062780446588205
id_000043,5.672188694297866
id_000044,5.34953722805678
id_000045,4.999947634472163
id_000046,6.5103600239846156
id_000047,4.532685533434027
id_000048,5.574110811699675
id_000049,5.256061715327846
id_000050,5.370046763276136
id_000051,4.932388361332102
id_000052,5.153531940462338
id_000053,5.178429890769708
id_000054,5.409476998350003
id_000055,5.475901732134916
id_000056,5.1341305581509635
id_000057,5.4337588266259935
id_000058,5.100196891073084
id_000059,5.360560348969102
id_000060,5.363975406588851
id_000061,5.341609664194252
id_000062,4.916526127795242
id_000063,5.239177594036334
id_000064,5.038895111352458
id_000065,5.466548681665682
id_000066,5.466548681665682
id_000067,5.278160730046839
id_000068,5.417368903082328
id_000069,5.998728703669252
id_000070,5.3394026310613185
id_000071,5.0769633369989355
id_000072,4.999947634472163
id_000073,4.967272597904212
id_000074,4.930241206905315
id_000075,5.628242354508057
id_000076,5.857328444393737
id_000077,5.857328444393737
id_000078,5.317777101852863
id_000079,5.103146304263408
id_000080,4.947670131967779
id_000081,5.184095481733706
id_000082,5.353064937277027
id_000083,5.119808629692553
id_000084,4.988184300373698
id_000085,5.832697221761981
id_000086,5.4026768680308415
id_000087,5.4538440507559995
id_000088,5.313563383942739
id_000089,5.465175232684017
id_000090,4.939214878098439
id_000091,5.22362342151517
id_000092,5.4538440507559995
id_000093,5.4148609147454945
id_000094,5.313563383942739
id_000095,4.79269032429125
id_000096,6.309470691952396
id_000097,5.328281805441407
id_000098,5.131571963791018
id_000099,4.80529508362209
id_000100,5.023832969707903
id_000101,5.398074498161578
id_000102,5.583815423395921
id_000103,5.023832969707903
id_000104,5.039176785920972
id_000105,5.212265853139984
id_000106,5.039176785920972
id_000107,5.338979751573893
id_000108,5.006774151238508
id_000109,5.582740762746905
id_000110,4.78367882709667
id_000111,5.166050434639856
id_000112,5.1966403623584
id_000113,5.225426855796057
id_000114,5.697172909758557
id_000115,5.166050434639856
id_000116,5.793950828506738
id_000117,5.4441922119541175
id_000118,5.150398557411096
id_000119,5.718430499245176
id_000120,4.842546103612122
id_000121,4.22930208566651
id_000122,5.718430499245176
id_000123,4.917008885988821
id_000124,4.996814251420928
id_000125,5.236855742431664
id_000126,5.1184786809221965
id_000127,4.6035343414371575
id_000128,4.6035343414371575
id_000129,5.504924968327842
id_000130,5.351148851395644
id_000131,4.8763464068521944
id_000132,6.511829010802645
id_000133,6.511829010802645
id_000134,5.322696805420852
id_000135,4.611664420526675
id_000136,4.942647049482336
id_000137,4.958509283019182
id_000138,5.28891144907368
id_000139,5.158273348379274
id_000140,5.158273348379274
id_000141,4.942647049482336
id_000142,4.958509283019182
id_000143,7.050292912672832
id_000144,5.332867061546525
id_000145,7.050292912672832
id_000146,4.9842957572434035
id_000147,5.110476291460621
id_000148,5.204391062171807
id_000149,5.520242398093736
id_000150,5.828947716679359
id_000151,5.785628938475197
id_000152,5.30907366567398
id_000153,5.287936660003499
id_000154,5.287936660003499
id_000155,5.777990890262295
id_000156,5.777990890262295
id_000157,5.777990890262295
id_000158,5.777990890262295
id_000159,4.934807917644369
id_000160,5.046065348264696
id_000161,4.6242542329646135
id_000162,4.880270609112699
id_000163,5.4041458548488635
id_000164,5.139488088099272
id_000165,5.149992791687817
id_000166,5.053632078217183
id_000167,5.292678067920442
id_000168,4.954419656263837
id_000169,5.373371957269401
id_000170,4.95734835721685
id_000171,4.5734457172782506
id_000172,5.2817148257142605
id_000173,5.2817148257142605
id_000174,5.847688045146108
id_000175,5.413463246187887
id_000176,5.229078656171082
id_000177,5.413463246187887
id_000178,5.644563126662547
id_000179,4.8718417416905275
id_000180,5.113526916697174
id_000181,5.113526916697174
id_000182,5.047226274067034
id_000183,4.874507313441098
id_000184,5.043337730936747
id_000185,5.02505594108762
id_000186,5.6310676765436085
id_000187,5.32489456587075
id_000188,5.081977146801357
id_000189,5.267964087473991
id_000190,5.282357334192816
id_000191,5.26008929650582
id_000192,5.595356961632019
id_000193,5.084740423259517
id_000194,5.258409953379697
id_000195,5.258409953379697
id_000196,5.099441730994032
id_000197,5.425700065796897
id_000198,5.8402788986073695
id_000199,5.979104185028115
id_000200,5.081671252656907
id_000201,5.844740431192376
id_000202,5.404329824709789
id_000203,5.2154687552150625
id_000204,5.238940851281058
id_000205,5.226491876127383
id_000206,6.16371191137469
id_000207,6.16371191137469
id_000208,5.067858101204584
id_000209,5.307563345515868
id_000210,5.9923228995191025
id_000211,6.318354131884381
id_000212,5.140975987918033
id_000213,5.673868037423987
id_000214,5.36611328833261
id_000215,5.070003456394785
id_000216,5.695519953079611
id_000217,5.6494642848644645
id_000218,4.78429494912805
id_000219,5.317549631780629
id_000220,5.215062989491776
id_000221,5.4437187264435725
id_000222,5.143027236873801
id_000223,5.04936595504737
id_000224,5.306673022362432
id_000225,5.449779011211244
id_000226,5.733272644263948
id_000227,5.122870694483374
id_000228,4.986546290587659
id_000229,5.733272644263948
id_000230,5.825868905759059
id_000231,6.189864984853353
id_000232,5.5752286049253454
id_000233,5.540721948392761
id_000234,5.825868905759059
id_000235,4.3553303430452095
id_000236,4.883991928511555
id_000237,4.883991928511555
id_000238,4.940368330454319
id_000239,4.883991928511555
id_000240,4.3553303430452095
id_000241,5.007354614139677
id_000242,6.081716258939128
id_000243,5.225049275756531
id_000244,5.694796486022959
id_000245,5.694796486022959
id_000246,5.251932830969127
id_000247,5.010829918100234
id_000248,5.026622632613238
id_000249,5.316458225002128
id_000250,5.251932830969127
id_000251,5.788063441680372
id_000252,5.295518336848889
id_000253,5.943687924706701
id_000254,4.837152914533603
id_000255,5.295518336848889
id_000256,5.087300816856041
id_000257,5.427969144507223
id_000258,4.870346368425324
id_000259,5.358520171932939
id_000260,6.042090614450068
id_000261,5.413296022456455
id_000262,4.500583486320801
id_000263,5.393263571220807
id_000264,5.357667307146292
id_000265,5.847913348347117
id_000266,5.886283960799397
id_000267,4.986518104903906
id_000268,6.78974899225453
id_000269,5.245290284063701
id_000270,6.071326006187672
id_000271,5.659326479974454
id_000272,6.071326006187672
id_000273,5.788132960704207
id_000274,4.940913134225278
id_000275,5.1044630142428975
id_000276,5.659326479974454
id_000277,5.245290284063701
id_000278,6.071326006187672
id_000279,6.766628089780886
id_000280,5.8911644067640125
id_000281,5.605429513050096
id_000282,5.770495478570221
id_000283,5.09491067938519
id_000284,5.8911644067640125
id_000285,5.385640469900805
id_000286,5.385640469900805
id_000287,5.764563159930615
id_000288,5.719873099616022
id_000289,5.6991004351942225
id_000290,5.42947946466532
id_000291,5.6991004351942225
id_000292,6.132366823577087
id_000293,5.6089650633514605
id_000294,5.68781418507945
id_000295,5.6771290189686345
id_000296,5.396286010773593
id_000297,4.999470550488463
id_000298,5.187884520919827
