obs_id,price_pred
id_000001,946321.1238212049
id_000002,757282.1466331694
id_000003,691356.6862564452
id_000004,566886.6382863716
id_000005,531615.2824862608
id_000006,478821.4175339593
id_000007,499504.7441080093
id_000008,498642.46659734787
id_000009,441146.9441164559
id_000010,504096.4948775817
id_000011,605450.6156527188
id_000012,368689.83300633606
id_000013,380926.21432232234
id_000014,415978.251837297
id_000015,425664.0649938492
id_000016,463739.1606564426
id_000017,407248.1147441125
id_000018,451379.9846838996
id_000019,399315.63739820075
id_000020,347232.81738178496
id_000021,445412.2307991098
id_000022,403767.9980761281
id_000023,418813.27446603944
id_000024,317745.2137285468
id_000025,343641.80109194317
id_000026,478332.6304790437
id_000027,444225.9281479773
id_000028,451505.568030797
id_000029,513388.0633419555
id_000030,571228.7919784174
id_000031,521335.41118509194
id_000032,552240.3178820289
id_000033,775627.0901755466
id_000034,628006.4923638457
id_000035,511906.81781232264
id_000036,672283.6506974535
id_000037,578030.4892064712
id_000038,1004952.7641071007
id_000039,842956.2784144572
id_000040,767761.603007363
id_000041,925234.6810097352
id_000042,746419.7102290294
id_000043,637514.5851860833
id_000044,612832.1897166332
id_000045,846911.9824348653
id_000046,1068926.0382765809
id_000047,609621.7431874989
id_000048,551817.3653393205
id_000049,453011.5709159812
id_000050,433513.95601059985
id_000051,417413.6093153883
id_000052,493092.1062947425
id_000053,488569.9937193086
id_000054,465913.3881695519
id_000055,379285.4974228435
id_000056,373957.14200990676
id_000057,339058.36988423095
id_000058,452152.9020401638
id_000059,422032.2282016362
id_000060,379564.7219970356
id_000061,374256.6758063314
id_000062,350863.58591487777
id_000063,427808.29626803513
id_000064,401624.44413553324
id_000065,405681.812530692
id_000066,461621.37867484655
id_000067,662230.3568288011
id_000068,522178.54454645194
id_000069,679267.6579782368
id_000070,398718.88672981714
id_000071,373477.96310967364
id_000072,358001.23666339496
id_000073,395689.0608774007
id_000074,419344.34194597916
id_000075,397940.17008894106
id_000076,351558.82427751186
id_000077,419283.11712360574
id_000078,504348.76805101486
id_000079,403485.69257476646
id_000080,601670.527462395
id_000081,654619.2471252099
id_000082,733850.7386892989
id_000083,407249.1183840729
id_000084,423602.57381685294
id_000085,355785.38150448486
id_000086,294921.17209798296
id_000087,346276.3919130005
id_000088,341434.7073005172
id_000089,285820.2883781433
id_000090,276063.3540258083
id_000091,309952.80516914075
id_000092,371425.40165466856
id_000093,259773.68140899335
id_000094,334719.6875488801
id_000095,365459.1785737215
id_000096,349437.2408184366
id_000097,357735.7856682896
id_000098,358046.29048644187
id_000099,444209.3829290297
id_000100,621773.3263089672
id_000101,482418.1016801393
id_000102,375859.4476014857
id_000103,349142.63678210677
id_000104,312658.8475009386
id_000105,423240.9180433786
id_000106,363167.9685892565
id_000107,752411.5239144418
id_000108,595756.3675791797
id_000109,525298.2430287909
id_000110,632316.6973709612
id_000111,653121.1087549434
id_000112,986952.8740197389
id_000113,1007930.077832122
id_000114,863176.4809216803
id_000115,905303.6935814355
id_000116,924279.5797091791
id_000117,833740.1546953481
id_000118,674689.5545905506
id_000119,648167.3672040744
id_000120,684349.0016593214
id_000121,521912.0097609038
id_000122,423713.58859432285
id_000123,628753.2526699634
id_000124,513490.50006910454
id_000125,541750.1030347784
id_000126,644882.069807492
id_000127,489513.96410384245
id_000128,400354.35708129616
id_000129,622480.4544683698
id_000130,515056.7306691003
id_000131,514263.67706240993
id_000132,509045.3413412707
id_000133,523500.15579040354
id_000134,543503.4306930482
id_000135,638198.837735345
id_000136,460097.6926824422
id_000137,735833.2938044339
id_000138,541281.3000461434
id_000139,753981.1090556623
id_000140,463244.8181856787
id_000141,442390.6932388172
id_000142,592153.323627851
id_000143,555543.0275894327
id_000144,614092.3834320827
id_000145,447866.25664483255
id_000146,726237.3672876908
id_000147,595187.1851186759
id_000148,632870.2340170209
id_000149,449941.8228540197
id_000150,530280.2921793524
id_000151,708970.2065852216
id_000152,721723.5577720928
id_000153,536993.3612765204
id_000154,657079.5564207884
id_000155,668422.2145817514
id_000156,545111.7982909072
id_000157,717227.4253228747
id_000158,545199.814949812
id_000159,565196.6574422319
id_000160,501836.5099617517
id_000161,599177.2648403296
id_000162,664895.5672721937
id_000163,673479.3473161241
id_000164,555899.6271579316
id_000165,656395.4527175038
id_000166,680510.7028238489
id_000167,464861.1970275815
id_000168,610817.4916971999
id_000169,563047.851977981
id_000170,475333.7651438929
id_000171,468826.94790714356
id_000172,414318.1830908499
id_000173,496865.96282241866
id_000174,403758.2869182563
id_000175,585178.6578187103
id_000176,545385.1243280489
id_000177,533261.6955016654
id_000178,430538.11661025044
id_000179,420911.78980899154
id_000180,450635.52908503276
id_000181,400351.24934625905
id_000182,573099.2558943565
id_000183,553055.6203602127
id_000184,423847.9896851794
id_000185,468086.048583274
id_000186,360514.63848493865
id_000187,408546.71736224275
id_000188,411025.4689800576
id_000189,416086.3305786257
id_000190,396454.2630197166
id_000191,424720.2324621712
id_000192,406758.6312594098
id_000193,407552.222274816
id_000194,403837.23287785053
id_000195,335770.0631722781
id_000196,396835.230507575
id_000197,539945.1943584362
id_000198,714179.9570734899
id_000199,422896.75494881027
id_000200,444410.7518240675
id_000201,369754.193686527
id_000202,449361.6224111791
id_000203,405773.3915907962
id_000204,374420.82920011075
id_000205,404091.41345346725
id_000206,413514.4931185832
id_000207,404662.64040342777
id_000208,406792.8411155497
id_000209,403374.66994911304
id_000210,405325.646835444
id_000211,348284.24163736205
id_000212,404044.991176042
id_000213,527185.119105507
id_000214,684451.287521308
id_000215,414009.2036885348
id_000216,347560.22947768186
id_000217,362227.01826326945
id_000218,354115.12388309505
id_000219,464588.9802583208
id_000220,384052.19554841646
id_000221,414811.9565560878
id_000222,485885.22649463266
id_000223,381806.5613421416
id_000224,385837.3997026111
id_000225,420648.6108358218
id_000226,427067.9808245491
id_000227,326731.4590921488
id_000228,350162.6967047841
id_000229,393508.2156720942
id_000230,341911.42075582256
id_000231,426359.8136396945
id_000232,354683.8365184729
id_000233,482549.110214716
id_000234,454457.1670992045
id_000235,318976.75817759644
id_000236,418041.85457524104
id_000237,323005.22890325414
id_000238,405445.15002657427
id_000239,393378.0217795879
id_000240,431869.1713286063
id_000241,328369.0040838539
id_000242,368604.4346620745
id_000243,460745.28695958765
id_000244,493070.5433164729
id_000245,453769.5075642257
id_000246,407198.79448956926
id_000247,437419.84476229706
id_000248,431516.6973565211
id_000249,748264.221215958
id_000250,500247.86585526064
id_000251,439930.59309350484
id_000252,645812.6062267195
id_000253,389484.57032984117
id_000254,608260.3495410307
id_000255,583706.8733901238
id_000256,732125.2126612891
id_000257,563147.6173669022
id_000258,501005.2042312203
id_000259,590761.2787378769
id_000260,559790.1489534692
id_000261,641150.5345893116
id_000262,557474.2500712015
id_000263,519660.1342057653
id_000264,573935.5893678401
id_000265,672442.3251413568
id_000266,498555.8881031943
id_000267,489424.43095714087
