obs_id,crime_type_pred
id_000001,2
id_000002,4
id_000003,5
id_000004,2
id_000005,5
id_000006,1
id_000007,5
id_000008,4
id_000009,4
id_000010,3
id_000011,1
id_000012,1
id_000013,1
id_000014,1
id_000015,1
id_000016,3
id_000017,3
id_000018,5
id_000019,4
id_000020,2
id_000021,1
id_000022,4
id_000023,2
id_000024,3
id_000025,2
id_000026,4
id_000027,2
id_000028,1
id_000029,2
id_000030,5
id_000031,2
id_000032,3
id_000033,4
id_000034,5
id_000035,4
id_000036,1
id_000037,3
id_000038,2
id_000039,3
id_000040,3
id_000041,3
id_000042,3
id_000043,2
id_000044,2
id_000045,1
id_000046,2
id_000047,4
id_000048,2
id_000049,4
id_000050,5
id_000051,5
id_000052,3
id_000053,3
id_000054,2
id_000055,5
id_000056,3
id_000057,4
id_000058,3
id_000059,1
id_000060,4
id_000061,3
id_000062,3
id_000063,3
id_000064,3
id_000065,3
id_000066,2
id_000067,2
id_000068,4
id_000069,1
id_000070,1
id_000071,3
id_000072,1
id_000073,3
id_000074,5
id_000075,2
id_000076,5
id_000077,1
id_000078,2
id_000079,1
id_000080,4
id_000081,3
id_000082,4
id_000083,5
id_000084,3
id_000085,5
id_000086,3
id_000087,5
id_000088,1
id_000089,5
id_000090,3
id_000091,1
id_000092,3
id_000093,5
id_000094,3
id_000095,2
id_000096,3
id_000097,5
id_000098,2
id_000099,4
id_000100,1
id_000101,2
id_000102,4
id_000103,1
id_000104,1
id_000105,1
id_000106,3
id_000107,2
id_000108,2
id_000109,5
id_000110,1
id_000111,4
id_000112,4
id_000113,2
id_000114,4
id_000115,5
id_000116,4
id_000117,5
id_000118,5
id_000119,5
id_000120,3
id_000121,5
id_000122,1
id_000123,2
id_000124,3
id_000125,1
id_000126,4
id_000127,5
id_000128,1
id_000129,1
id_000130,1
id_000131,5
id_000132,5
id_000133,1
id_000134,4
id_000135,5
id_000136,2
id_000137,2
id_000138,5
id_000139,1
id_000140,1
id_000141,3
id_000142,1
id_000143,2
id_000144,3
id_000145,3
id_000146,5
id_000147,1
id_000148,3
id_000149,3
id_000150,5
id_000151,3
id_000152,1
id_000153,2
id_000154,3
id_000155,3
id_000156,4
id_000157,3
id_000158,3
id_000159,5
id_000160,5
id_000161,3
id_000162,5
id_000163,5
id_000164,4
id_000165,4
id_000166,1
id_000167,2
id_000168,4
id_000169,1
id_000170,1
id_000171,3
id_000172,3
id_000173,1
id_000174,4
id_000175,5
id_000176,5
id_000177,3
id_000178,3
id_000179,4
id_000180,3
id_000181,5
id_000182,4
id_000183,3
id_000184,4
id_000185,5
id_000186,5
id_000187,4
id_000188,2
id_000189,1
id_000190,4
id_000191,3
id_000192,3
id_000193,2
id_000194,2
id_000195,3
id_000196,5
id_000197,5
id_000198,5
id_000199,2
id_000200,3
id_000201,1
id_000202,4
id_000203,3
id_000204,5
id_000205,5
id_000206,4
id_000207,1
id_000208,1
id_000209,5
id_000210,4
id_000211,2
id_000212,1
id_000213,1
id_000214,1
id_000215,2
id_000216,5
id_000217,3
id_000218,4
id_000219,1
id_000220,1
id_000221,3
id_000222,5
id_000223,4
id_000224,1
id_000225,1
id_000226,3
id_000227,3
id_000228,5
id_000229,3
id_000230,4
id_000231,3
id_000232,1
id_000233,5
id_000234,1
id_000235,4
id_000236,3
id_000237,3
id_000238,2
id_000239,5
id_000240,4
id_000241,3
id_000242,3
id_000243,1
id_000244,3
id_000245,4
id_000246,3
id_000247,4
id_000248,5
id_000249,3
id_000250,5
id_000251,5
id_000252,5
id_000253,5
id_000254,3
id_000255,2
id_000256,2
id_000257,5
id_000258,2
id_000259,1
id_000260,1
id_000261,3
id_000262,5
id_000263,3
id_000264,5
id_000265,5
id_000266,4
id_000267,4
id_000268,1
id_000269,3
id_000270,3
id_000271,5
id_000272,3
id_000273,4
id_000274,4
id_000275,2
id_000276,2
id_000277,3
id_000278,5
id_000279,1
id_000280,5
id_000281,3
id_000282,1
id_000283,3
id_000284,4
id_000285,5
id_000286,4
id_000287,4
id_000288,5
id_000289,1
id_000290,2
id_000291,3
id_000292,3
id_000293,2
id_000294,2
id_000295,3
id_000296,1
id_000297,4
id_000298,3
id_000299,2
id_000300,2
id_000301,1
id_000302,2
id_000303,3
id_000304,1
id_000305,5
id_000306,5
id_000307,5
id_000308,5
id_000309,3
id_000310,4
id_000311,1
id_000312,5
id_000313,5
id_000314,3
id_000315,4
id_000316,2
id_000317,5
id_000318,5
id_000319,1
id_000320,3
id_000321,5
id_000322,1
id_000323,2
id_000324,2
id_000325,2
id_000326,4
id_000327,4
id_000328,2
id_000329,1
id_000330,1
id_000331,4
id_000332,2
id_000333,2
id_000334,4
id_000335,1
id_000336,3
id_000337,4
id_000338,4
id_000339,1
id_000340,1
id_000341,5
id_000342,3
id_000343,3
id_000344,5
id_000345,5
id_000346,5
id_000347,5
id_000348,4
id_000349,1
id_000350,1
id_000351,2
id_000352,1
id_000353,4
id_000354,2
id_000355,4
id_000356,2
id_000357,3
id_000358,4
id_000359,5
id_000360,4
id_000361,1
id_000362,4
id_000363,3
id_000364,4
id_000365,3
id_000366,5
id_000367,5
id_000368,1
id_000369,4
id_000370,3
id_000371,3
id_000372,4
id_000373,3
id_000374,2
id_000375,2
id_000376,2
id_000377,5
id_000378,1
id_000379,3
id_000380,2
id_000381,3
id_000382,5
id_000383,3
id_000384,2
id_000385,3
id_000386,4
id_000387,2
id_000388,4
id_000389,1
id_000390,2
id_000391,5
id_000392,2
id_000393,3
id_000394,4
id_000395,4
id_000396,1
id_000397,5
id_000398,4
id_000399,4
id_000400,5
id_000401,5
id_000402,4
id_000403,4
id_000404,1
id_000405,1
id_000406,5
id_000407,3
id_000408,3
id_000409,4
id_000410,1
id_000411,1
id_000412,3
id_000413,5
id_000414,2
id_000415,1
id_000416,4
id_000417,3
id_000418,5
id_000419,2
id_000420,1
id_000421,4
id_000422,2
id_000423,1
id_000424,3
id_000425,1
id_000426,3
id_000427,2
id_000428,2
id_000429,1
id_000430,3
id_000431,2
id_000432,4
id_000433,5
id_000434,3
id_000435,3
id_000436,3
id_000437,5
id_000438,4
id_000439,2
id_000440,1
id_000441,1
id_000442,3
id_000443,2
id_000444,3
id_000445,3
id_000446,3
id_000447,5
id_000448,1
id_000449,5
id_000450,5
id_000451,3
id_000452,3
id_000453,4
id_000454,2
id_000455,1
id_000456,3
id_000457,3
id_000458,2
id_000459,4
id_000460,4
id_000461,2
id_000462,5
id_000463,3
id_000464,5
id_000465,1
id_000466,4
id_000467,3
id_000468,4
id_000469,2
id_000470,3
id_000471,3
id_000472,5
id_000473,1
id_000474,4
id_000475,3
id_000476,3
id_000477,3
id_000478,5
id_000479,3
id_000480,3
id_000481,1
id_000482,1
id_000483,4
id_000484,1
id_000485,2
id_000486,4
id_000487,1
id_000488,2
id_000489,3
id_000490,4
id_000491,2
id_000492,4
id_000493,1
id_000494,1
id_000495,5
id_000496,3
id_000497,2
id_000498,2
id_000499,5
id_000500,2
id_000501,4
id_000502,4
id_000503,2
id_000504,5
id_000505,1
id_000506,2
id_000507,3
id_000508,2
id_000509,5
id_000510,2
id_000511,1
id_000512,2
id_000513,4
id_000514,2
id_000515,1
id_000516,4
id_000517,2
id_000518,3
id_000519,1
id_000520,4
id_000521,5
id_000522,5
id_000523,3
id_000524,4
id_000525,5
id_000526,2
id_000527,2
id_000528,5
id_000529,4
id_000530,5
id_000531,3
id_000532,2
id_000533,3
id_000534,4
id_000535,5
id_000536,1
id_000537,3
id_000538,1
id_000539,1
id_000540,3
id_000541,2
id_000542,3
id_000543,1
id_000544,2
id_000545,4
id_000546,5
id_000547,5
id_000548,2
id_000549,2
id_000550,5
id_000551,2
id_000552,1
id_000553,4
id_000554,2
id_000555,1
id_000556,3
id_000557,3
id_000558,5
id_000559,5
id_000560,2
id_000561,1
id_000562,3
id_000563,5
id_000564,1
id_000565,2
id_000566,1
id_000567,3
id_000568,2
id_000569,3
id_000570,1
id_000571,1
id_000572,3
id_000573,3
id_000574,4
id_000575,1
id_000576,3
id_000577,2
id_000578,3
id_000579,1
id_000580,1
id_000581,2
id_000582,5
id_000583,3
id_000584,2
id_000585,4
id_000586,5
id_000587,3
id_000588,3
id_000589,4
id_000590,1
id_000591,5
id_000592,5
