obs_id,class_pred
id_013276,1
id_018606,1
id_028642,0
id_045408,1
id_010084,0
id_044915,1
id_047229,1
id_033036,0
id_031451,0
id_003089,0
id_010297,0
id_008826,0
id_034343,0
id_019201,1
id_038482,1
id_024878,1
id_035870,0
id_049579,0
id_018995,1
id_038858,1
id_046717,1
id_010603,0
id_032570,0
id_006275,0
id_013355,0
id_019297,1
id_000670,0
id_019110,1
id_043461,1
id_017008,1
id_024090,1
id_029960,0
id_024662,1
id_009305,1
id_041341,1
id_033400,0
id_039684,1
id_005394,0
id_036159,0
id_020548,0
id_041015,1
id_032327,0
id_039114,0
id_027629,1
id_026463,0
id_039433,1
id_001166,0
id_023840,1
id_036581,0
id_034603,0
id_023858,1
id_043017,1
id_021883,1
id_012227,0
id_003531,0
id_004968,0
id_015796,1
id_025903,0
id_033062,0
id_020318,1
id_045590,1
id_014663,1
id_022925,1
id_016599,1
id_032502,0
id_012885,1
id_023896,1
id_038265,1
id_004207,0
id_043706,1
id_016930,1
id_041913,1
id_017310,1
id_016665,1
id_023783,1
id_044544,1
id_043152,1
id_019470,0
id_038806,1
id_047956,1
id_021699,1
id_035569,0
id_019967,1
id_016241,1
id_037791,1
id_010118,0
id_035495,0
id_006075,0
id_012253,0
id_007153,0
id_011960,0
id_002942,0
id_032056,0
id_043732,1
id_038873,1
id_039790,1
id_022721,1
id_020465,1
id_040465,1
id_030187,0
id_032671,0
id_017625,1
id_013486,1
id_049532,1
id_031609,0
id_010639,0
id_006455,0
id_023855,1
id_046104,1
id_029873,0
id_048702,1
id_036509,0
id_017797,1
id_021525,0
id_007394,0
id_000653,0
id_035696,0
id_005148,0
id_022262,1
id_031929,1
id_049473,1
id_024720,1
id_024159,0
id_008651,1
id_037648,0
id_022639,1
id_025495,1
id_010351,0
id_011404,0
id_029709,1
id_028669,0
id_003844,0
id_001773,0
id_032055,0
id_046307,1
id_029824,0
id_027969,0
id_026230,0
id_049119,1
id_025312,0
id_034044,1
id_029993,1
id_011910,0
id_012872,1
id_036361,0
id_022563,1
id_008731,0
id_037226,0
id_005234,0
id_043099,1
id_030641,0
id_027774,1
id_016389,1
id_022588,1
id_024945,0
id_009016,0
id_026399,0
id_003752,0
id_013844,1
id_010602,0
id_014194,1
id_044611,1
id_022240,1
id_049906,1
id_043887,1
id_020589,1
id_003180,1
id_016719,1
id_036065,1
id_016824,1
id_031414,0
id_041887,1
id_042660,1
id_019501,1
id_018959,1
id_044616,1
id_032103,0
